threshold,num_objects_ge_threshold,total_objects
2,230,230
3,207,230
4,205,230
10,204,230
11,200,230
13,198,230
14,192,230
15,191,230
17,189,230
19,184,230
22,176,230
30,175,230
35,174,230
40,173,230
42,172,230
50,171,230
52,169,230
53,168,230
55,167,230
56,166,230
60,163,230
68,162,230
74,161,230
75,160,230
80,159,230
83,158,230
87,157,230
88,156,230
90,155,230
93,132,230
106,131,230
108,130,230
110,129,230
111,128,230
118,127,230
127,126,230
147,125,230
150,124,230
151,123,230
154,122,230
162,121,230
175,120,230
179,119,230
180,118,230
